LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1747610031.768245,3792479.000,20782,4,PG,1,100,13031
1747610031.768245,3792479.000,20782,4,PG,1,100,13050
1747610031.768245,3792479.000,20782,4,PG,1,100,13027
1747610031.768245,3792479.000,20782,4,PG,1,100,13027
1747610031.777645,3792488.400,20799,10,PG,1,100,13046
1747610031.787045,3792497.800,20799,10,PG,1,100,13053
1747610031.796446,3792507.200,20799,10,PG,1,100,13048
1747610031.805846,3792516.600,20799,10,PG,1,100,13059
1747610031.815246,3792526.000,20799,10,PG,1,100,13075
1747610031.824646,3792535.400,20799,10,PG,1,100,13066
1747610031.834046,3792544.800,20799,10,PG,1,100,13047
1747610031.843446,3792554.200,20799,10,PG,1,100,13020
1747610031.852846,3792563.600,20799,10,PG,1,100,13046
1747610031.862247,3792573.000,20799,10,PG,1,100,13031
1747610031.872847,3792583.600,20814,10,PG,1,100,13025
1747610031.883447,3792594.200,20814,10,PG,1,100,13050
1747610031.894047,3792604.800,20814,10,PG,1,100,13018
1747610031.904647,3792615.400,20814,10,PG,1,100,13062
1747610031.915247,3792626.000,20814,10,PG,1,100,13058
1747610031.925848,3792636.600,20814,10,PG,1,100,13041
1747610031.936448,3792647.200,20814,10,PG,1,100,13019
1747610031.947048,3792657.800,20814,10,PG,1,100,13014
1747610031.957648,3792668.400,20814,10,PG,1,100,12983
1747610031.968248,3792679.000,20814,10,PG,1,100,12998
1747610031.978582,3792689.333,20830,9,PG,1,100,12952
1747610031.988915,3792699.667,20830,9,PG,1,100,12960
1747610031.999249,3792710.000,20830,9,PG,1,100,12932
1747610032.009582,3792720.333,20830,9,PG,1,100,12927
1747610032.019916,3792730.667,20830,9,PG,1,100,12918
1747610032.030249,3792741.000,20830,9,PG,1,100,12952
1747610032.040583,3792751.333,20830,9,PG,1,100,12951
1747610032.050916,3792761.667,20830,9,PG,1,100,12942
1747610032.061250,3792772.000,20830,9,PG,1,100,12942
1747610032.070977,3792781.727,20848,11,PG,1,100,12939
1747610032.080704,3792791.455,20848,11,PG,1,100,12936
1747610032.090432,3792801.182,20848,11,PG,1,100,12970
1747610032.100159,3792810.909,20848,11,PG,1,100,12971
1747610032.109887,3792820.636,20848,11,PG,1,100,12994
1747610032.119614,3792830.364,20848,11,PG,1,100,12969
1747610032.129342,3792840.091,20848,11,PG,1,100,12997
1747610032.139069,3792849.818,20848,11,PG,1,100,12993
1747610032.148796,3792859.545,20848,11,PG,1,100,13000
1747610032.158524,3792869.273,20848,11,PG,1,100,12986
1747610032.168251,3792879.000,20848,11,PG,1,100,12995
1747610032.177979,3792888.727,20866,11,PG,1,100,12996
1747610032.187706,3792898.455,20866,11,PG,1,100,12994
1747610032.197433,3792908.182,20866,11,PG,1,100,13008
1747610032.207161,3792917.909,20866,11,PG,1,100,13011
1747610032.216888,3792927.636,20866,11,PG,1,100,13002
1747610032.226616,3792937.364,20866,11,PG,1,100,13002
1747610032.236343,3792947.091,20866,11,PG,1,100,13013
1747610032.246071,3792956.818,20866,11,PG,1,100,13007
1747610032.255798,3792966.545,20866,11,PG,1,100,12997
1747610032.265525,3792976.273,20866,11,PG,1,100,12988
1747610032.275253,3792986.000,20866,11,PG,1,100,13028
1747610032.285586,3792996.333,20881,9,PG,1,100,13014
1747610032.295920,3793006.667,20881,9,PG,1,100,13025
1747610032.306253,3793017.000,20881,9,PG,1,100,13013
1747610032.316587,3793027.333,20881,9,PG,1,100,13012
1747610032.326920,3793037.667,20881,9,PG,1,100,13029
1747610032.337254,3793048.000,20881,9,PG,1,100,13028
1747610032.347587,3793058.333,20881,9,PG,1,100,13048
1747610032.357921,3793068.667,20881,9,PG,1,100,13030
1747610032.368254,3793079.000,20881,9,PG,1,100,13036
1747610032.377982,3793088.727,20897,11,PG,1,100,13035
1747610032.387709,3793098.455,20897,11,PG,1,100,13065
1747610032.397436,3793108.182,20897,11,PG,1,100,13062
1747610032.407164,3793117.909,20897,11,PG,1,100,13039
1747610032.416891,3793127.636,20897,11,PG,1,100,13065
1747610032.426619,3793137.364,20897,11,PG,1,100,13077
1747610032.436346,3793147.091,20897,11,PG,1,100,13058
1747610032.446073,3793156.818,20897,11,PG,1,100,13051
1747610032.455801,3793166.545,20897,11,PG,1,100,13059
1747610032.465528,3793176.273,20897,11,PG,1,100,13034
1747610032.475256,3793186.000,20897,11,PG,1,100,13053
1747610032.485589,3793196.333,20915,9,PG,1,100,13056
1747610032.495923,3793206.667,20915,9,PG,1,100,13051
1747610032.506256,3793217.000,20915,9,PG,1,100,13066
1747610032.516590,3793227.333,20915,9,PG,1,100,13022
1747610032.526923,3793237.667,20915,9,PG,1,100,12997
1747610032.537257,3793248.000,20915,9,PG,1,100,12974
1747610032.547590,3793258.333,20915,9,PG,1,100,12983
1747610032.557924,3793268.667,20915,9,PG,1,100,12978
1747610032.568257,3793279.000,20915,9,PG,1,100,12948
1747610032.577985,3793288.727,20931,11,PG,1,100,12950
1747610032.587712,3793298.455,20931,11,PG,1,100,12967
1747610032.597439,3793308.182,20931,11,PG,1,100,12963
1747610032.607167,3793317.909,20931,11,PG,1,100,12940
1747610032.616894,3793327.636,20931,11,PG,1,100,12948
1747610032.626622,3793337.364,20931,11,PG,1,100,12978
1747610032.636349,3793347.091,20931,11,PG,1,100,12962
1747610032.646076,3793356.818,20931,11,PG,1,100,12970
1747610032.655804,3793366.545,20931,11,PG,1,100,12969
1747610032.665531,3793376.273,20931,11,PG,1,100,12994
1747610032.675259,3793386.000,20931,11,PG,1,100,12995
1747610032.685859,3793396.600,20947,10,PG,1,100,13015
1747610032.696459,3793407.200,20947,10,PG,1,100,12995
1747610032.707059,3793417.800,20947,10,PG,1,100,12997
1747610032.717659,3793428.400,20947,10,PG,1,100,13036
1747610032.728260,3793439.000,20947,10,PG,1,100,13035
1747610032.738860,3793449.600,20947,10,PG,1,100,13011
1747610032.749460,3793460.200,20947,10,PG,1,100,13022
1747610032.760060,3793470.800,20947,10,PG,1,100,12996
1747610032.770660,3793481.400,20947,10,PG,1,100,13033
1747610032.781260,3793492.000,20947,10,PG,1,100,13010
1747610032.791705,3793502.444,20965,9,PG,1,100,13011
1747610032.802150,3793512.889,20965,9,PG,1,100,13036
1747610032.812594,3793523.333,20965,9,PG,1,100,13046
1747610032.823039,3793533.778,20965,9,PG,1,100,13015
1747610032.833483,3793544.222,20965,9,PG,1,100,13005
1747610032.843928,3793554.667,20965,9,PG,1,100,13018
1747610032.854373,3793565.111,20965,9,PG,1,100,13036
1747610032.864817,3793575.556,20965,9,PG,1,100,13022
1747610032.875262,3793586.000,20965,9,PG,1,100,13015
1747610032.885262,3793596.000,20982,16,PG,1,100,13037
1747610032.895262,3793606.000,20982,16,PG,1,100,13041
1747610032.905262,3793616.000,20982,16,PG,1,100,13029
1747610032.915262,3793626.000,20982,16,PG,1,100,13054
1747610032.925262,3793636.000,20982,16,PG,1,100,13056
1747610032.935263,3793646.000,20982,16,PG,1,100,13058
1747610032.945263,3793656.000,20982,16,PG,1,100,13043
1747610032.955263,3793666.000,20982,16,PG,1,100,13033
1747610032.965263,3793676.000,20982,16,PG,1,100,13026
1747610032.975263,3793686.000,20982,16,PG,1,100,13079
1747610032.985263,3793696.000,20982,16,PG,1,100,13043
1747610032.995264,3793706.000,20982,16,PG,1,100,13039
1747610033.005264,3793716.000,20982,16,PG,1,100,13078
1747610033.015264,3793726.000,20982,16,PG,1,100,13028
1747610033.025264,3793736.000,20982,16,PG,1,100,13043
1747610033.035264,3793746.000,20982,16,PG,1,100,13067
1747610033.044901,3793755.636,20998,11,PG,1,100,13036
1747610033.054537,3793765.273,20998,11,PG,1,100,13082
1747610033.064174,3793774.909,20998,11,PG,1,100,13059
1747610033.073810,3793784.545,20998,11,PG,1,100,13053
1747610033.083447,3793794.182,20998,11,PG,1,100,13070
1747610033.093083,3793803.818,20998,11,PG,1,100,13026
1747610033.102720,3793813.455,20998,11,PG,1,100,13041
1747610033.112356,3793823.091,20998,11,PG,1,100,13004
1747610033.121993,3793832.727,20998,11,PG,1,100,12997
1747610033.131629,3793842.364,20998,11,PG,1,100,12991
1747610033.141266,3793852.000,20998,11,PG,1,100,12967
1747610033.151710,3793862.444,21016,9,PG,1,100,12956
1747610033.162155,3793872.889,21016,9,PG,1,100,12983
1747610033.172599,3793883.333,21016,9,PG,1,100,12945
1747610033.183044,3793893.778,21016,9,PG,1,100,12954
1747610033.193489,3793904.222,21016,9,PG,1,100,12998
1747610033.203933,3793914.667,21016,9,PG,1,100,13005
1747610033.214378,3793925.111,21016,9,PG,1,100,12999
